SNAME,SU,NATIONS_SRANK
Parietaria pensylvanica var. pensylvanica,FL,SNR
Parietaria pensylvanica var. pensylvanica,GA,SNR
Parietaria pensylvanica var. pensylvanica,IA,SNR
Parietaria pensylvanica var. pensylvanica,ID,SNR
Parietaria pensylvanica var. pensylvanica,IL,SNR
Parietaria pensylvanica var. pensylvanica,IN,SNR
Parietaria pensylvanica var. pensylvanica,KS,SNR
Parietaria pensylvanica var. pensylvanica,KY,SNR
Parietaria pensylvanica var. pensylvanica,LA,SNR
Parietaria pensylvanica var. pensylvanica,MA,SNR
Parietaria pensylvanica var. pensylvanica,MD,SNR
Parietaria pensylvanica var. pensylvanica,ME,SNR
Parietaria pensylvanica var. pensylvanica,MI,SNR
Parietaria pensylvanica var. pensylvanica,MN,SNR
Parietaria pensylvanica var. pensylvanica,MO,SNR
Parietaria pensylvanica var. pensylvanica,MS,SNR
Parietaria pensylvanica var. pensylvanica,MT,SNR
Parietaria pensylvanica var. pensylvanica,NC,S2
Parietaria pensylvanica var. pensylvanica,ND,SNR
Parietaria pensylvanica var. pensylvanica,NE,SNR
Parietaria pensylvanica var. pensylvanica,NH,SNR
Parietaria pensylvanica var. pensylvanica,NJ,SNR
Parietaria pensylvanica var. pensylvanica,NM,SNR
Parietaria pensylvanica var. pensylvanica,NV,SNR
Parietaria pensylvanica var. pensylvanica,NY,SNR
Parietaria pensylvanica var. pensylvanica,OH,SNR
Parietaria pensylvanica var. pensylvanica,OK,SNR
Parietaria pensylvanica var. pensylvanica,OR,SNR
Parietaria pensylvanica var. pensylvanica,PA,SNR
Parietaria pensylvanica var. pensylvanica,RI,SNR
Parietaria pensylvanica var. pensylvanica,SD,SNR
Parietaria pensylvanica var. pensylvanica,TN,SNR
Parietaria pensylvanica var. pensylvanica,TX,SNR
Parietaria pensylvanica var. pensylvanica,UT,SNR
Parietaria pensylvanica var. pensylvanica,VA,S5
Parietaria pensylvanica var. pensylvanica,VT,SNR
Parietaria pensylvanica var. pensylvanica,WA,SNR
Parietaria pensylvanica var. pensylvanica,WI,SNR
Parietaria pensylvanica var. pensylvanica,WV,S4
Parietaria pensylvanica var. pensylvanica,WY,SNR
Parietaria pensylvanica var. pensylvanica,AB,SNR
Parietaria pensylvanica var. pensylvanica,BC,SNR
Parietaria pensylvanica var. pensylvanica,MB,SNR
Parietaria pensylvanica var. pensylvanica,ON,SNR
Parietaria pensylvanica var. pensylvanica,QC,SNR
Parietaria pensylvanica var. pensylvanica,SK,S4
Parietaria pensylvanica var. pensylvanica,YT,SNR
Parnassia glauca,CT,S4
Parnassia glauca,GS,PNR
Parnassia glauca,IA,S3
Parnassia glauca,IL,SNR
Parnassia glauca,IN,SNR
Parnassia glauca,MA,SNR
Parnassia glauca,ME,S3
Parnassia glauca,MI,SNR
Parnassia glauca,MN,SNR
Parnassia glauca,ND,SNR
Parnassia glauca,NH,S2
Parnassia glauca,NJ,S4
Parnassia glauca,NY,S4
Parnassia glauca,OH,SNR
Parnassia glauca,PA,S2
Parnassia glauca,RI,SH
Parnassia glauca,SD,S2
Parnassia glauca,VT,SNR
Parnassia glauca,WI,SNR
Parnassia glauca,MB,S4
Parnassia glauca,NB,S3
Parnassia glauca,NF,S2
Parnassia glauca,ON,S5
Parnassia glauca,QC,S3S4
Parnassia glauca,SK,S2
Paronychia canadensis,AL,SNR
Paronychia canadensis,AR,SNR
Paronychia canadensis,CT,SNR
Paronychia canadensis,DC,SNR
Paronychia canadensis,DE,S3
Paronychia canadensis,GA,SNR
Paronychia canadensis,GS,P2?
Paronychia canadensis,IA,S5
Paronychia canadensis,IL,S3S4
Paronychia canadensis,IN,SNR
Paronychia canadensis,KS,SNR
Paronychia canadensis,KY,S4?
Paronychia canadensis,LA,SH
Paronychia canadensis,MA,SNR
Paronychia canadensis,MD,SNR
Paronychia canadensis,MI,SNR
Paronychia canadensis,MN,S2
Paronychia canadensis,MO,SNR
Paronychia canadensis,NC,S4?
Paronychia canadensis,NE,S1
Paronychia canadensis,NH,S2
Paronychia canadensis,NJ,S4
Paronychia canadensis,NY,S5
Paronychia canadensis,OH,SNR
Paronychia canadensis,OK,S1S2
Paronychia canadensis,PA,SNR
Paronychia canadensis,RI,SNR
Paronychia canadensis,SC,SNR
Paronychia canadensis,TN,SNR
Paronychia canadensis,VA,S5
Paronychia canadensis,VT,S1
Paronychia canadensis,WI,SNR
Paronychia canadensis,WV,S5
Paronychia canadensis,ON,SH
Paronychia fastigiata,AL,SNR
Paronychia fastigiata,AR,SNR
Paronychia fastigiata,CT,SH
Paronychia fastigiata,DC,SNR
Paronychia fastigiata,DE,S2
Paronychia fastigiata,GA,SNR
Paronychia fastigiata,GS,P2
Paronychia fastigiata,IA,S3
Paronychia fastigiata,IL,S3S4
Paronychia fastigiata,IN,SNR
Paronychia fastigiata,KS,SNR
Paronychia fastigiata,KY,SNR
Paronychia fastigiata,LA,SNR
Paronychia fastigiata,MA,SNR
Paronychia fastigiata,MD,SNR
Paronychia fastigiata,MI,SH
Paronychia fastigiata,MN,S1
Paronychia fastigiata,MO,SNR
Paronychia fastigiata,MS,SNR
Paronychia fastigiata,NC,S4?
Paronychia fastigiata,NJ,SNR
Paronychia fastigiata,NY,SNR
Paronychia fastigiata,OH,SNR
Paronychia fastigiata,OK,SNR
Paronychia fastigiata,PA,S5
Paronychia fastigiata,RI,SNR
Paronychia fastigiata,SC,SNR
Paronychia fastigiata,TN,SNR
Paronychia fastigiata,TX,S2
Paronychia fastigiata,VA,SNR
Paronychia fastigiata,WI,SNR
Paronychia fastigiata,WV,S3
Paronychia fastigiata,ON,S1
Paronychia fastigiata,QC,SNA
Paronychia fastigiata var. fastigiata,AL,SNR
Paronychia fastigiata var. fastigiata,AR,SNR
Paronychia fastigiata var. fastigiata,CT,SNR
Paronychia fastigiata var. fastigiata,DC,SNR
Paronychia fastigiata var. fastigiata,DE,S2
Paronychia fastigiata var. fastigiata,GA,SNR
Paronychia fastigiata var. fastigiata,IA,SNR
Paronychia fastigiata var. fastigiata,IL,SNR
Paronychia fastigiata var. fastigiata,IN,SNR
Paronychia fastigiata var. fastigiata,KS,SNR
Paronychia fastigiata var. fastigiata,KY,SNR
Paronychia fastigiata var. fastigiata,LA,SNR
Paronychia fastigiata var. fastigiata,MA,SNR
Paronychia fastigiata var. fastigiata,MD,SNR
Paronychia fastigiata var. fastigiata,MI,SNR
Paronychia fastigiata var. fastigiata,MN,S1
Paronychia fastigiata var. fastigiata,MO,SNR
Paronychia fastigiata var. fastigiata,MS,SNR
Paronychia fastigiata var. fastigiata,NC,S1S2
Paronychia fastigiata var. fastigiata,NJ,S4
Paronychia fastigiata var. fastigiata,NY,S4
Paronychia fastigiata var. fastigiata,OH,SNR
Paronychia fastigiata var. fastigiata,OK,SNR
Paronychia fastigiata var. fastigiata,PA,SNR
Paronychia fastigiata var. fastigiata,RI,SNR
Paronychia fastigiata var. fastigiata,SC,SU
Paronychia fastigiata var. fastigiata,TN,SNR
Paronychia fastigiata var. fastigiata,TX,SNR
Paronychia fastigiata var. fastigiata,VA,S5?
Paronychia fastigiata var. fastigiata,WI,SNR
Paronychia fastigiata var. fastigiata,WV,S3
Paronychia fastigiata var. fastigiata,ON,S1
Paronychia fastigiata var. fastigiata,QC,SNA
Paronychia fastigiata var. nuttallii,PA,S1S2
Paronychia fastigiata var. nuttallii,VA,S5?
Paronychia fastigiata var. nuttallii,WV,SH
Paronychia fastigiata var. paleacea,AR,SNR
Paronychia fastigiata var. paleacea,DE,S2
Paronychia fastigiata var. paleacea,IL,SNR
Paronychia fastigiata var. paleacea,IN,SNR
Paronychia fastigiata var. paleacea,KY,SNR
Paronychia fastigiata var. paleacea,MD,SNR
Paronychia fastigiata var. paleacea,MO,SNR
Paronychia fastigiata var. paleacea,NC,SNR
Paronychia fastigiata var. paleacea,NJ,S3S4
Paronychia fastigiata var. paleacea,PA,SNR
Paronychia fastigiata var. paleacea,TN,SNR
Paronychia fastigiata var. paleacea,TX,SNR
Paronychia fastigiata var. paleacea,VA,S5?
Paronychia fastigiata var. paleacea,WI,SNR
Paronychia fastigiata var. paleacea,WV,SH
Paronychia montana,AL,SNR
Paronychia montana,GA,SNR
Paronychia montana,MD,SNR
Paronychia montana,NC,S1?
Paronychia montana,NJ,SH
Paronychia montana,OH,SNR
Paronychia montana,PA,SNR
Paronychia montana,SC,SNR
Paronychia montana,TN,SNR
Paronychia montana,VA,S4
Paronychia montana,WV,S3
Parthenium integrifolium,AL,SNR
Parthenium integrifolium,AR,SNR
Parthenium integrifolium,CT,SNR
Parthenium integrifolium,GA,SNR
Parthenium integrifolium,GS,P1
Parthenium integrifolium,IA,S3
Parthenium integrifolium,IL,SNR
Parthenium integrifolium,IN,SNR
Parthenium integrifolium,KS,SNR
Parthenium integrifolium,KY,SNR
Parthenium integrifolium,LA,SNR
Parthenium integrifolium,MA,SNR
Parthenium integrifolium,MD,S1
Parthenium integrifolium,MI,SNA
Parthenium integrifolium,MN,S1
Parthenium integrifolium,MO,SNR
Parthenium integrifolium,MS,SNR
Parthenium integrifolium,NC,SNR
Parthenium integrifolium,NE,SNR
Parthenium integrifolium,NY,SNA
Parthenium integrifolium,OH,SNR
Parthenium integrifolium,OK,SNR
Parthenium integrifolium,PA,S1
Parthenium integrifolium,SC,SNR
Parthenium integrifolium,TN,SNR
Parthenium integrifolium,TV,SNR
Parthenium integrifolium,TX,SNR
Parthenium integrifolium,VA,SNR
Parthenium integrifolium,WI,S3S4
Parthenium integrifolium,WV,S3
Parthenium integrifolium,AL,SNR
Parthenium integrifolium,AR,SNR
Parthenium integrifolium,CT,SNR
Parthenium integrifolium,GA,SNR
Parthenium integrifolium,IA,SNR
Parthenium integrifolium,IL,SNR
Parthenium integrifolium,IN,SNR
Parthenium integrifolium,KS,SNR
Parthenium integrifolium,KY,S4S5
Parthenium integrifolium,MA,SNR
Parthenium integrifolium,MD,SNR
Parthenium integrifolium,MI,SNR
Parthenium integrifolium,MN,SNR
Parthenium integrifolium,MO,SNR
Parthenium integrifolium,MS,SNR
Parthenium integrifolium,NC,S5
Parthenium integrifolium,NY,SNA
Parthenium integrifolium,OH,SNR
Parthenium integrifolium,OK,SNR
Parthenium integrifolium,PA,SNR
Parthenium integrifolium,SC,SNR
Parthenium integrifolium,TN,SNR
Parthenium integrifolium,TV,SNR
Parthenium integrifolium,TX,SNR
Parthenium integrifolium,VA,SNR
Parthenium integrifolium,WI,SNR
Parthenium integrifolium,WV,SNR
Parthenium integrifolium var. integrifolium,AL,SNR
Parthenium integrifolium var. integrifolium,AR,SNR
Parthenium integrifolium var. integrifolium,CT,SNR
Parthenium integrifolium var. integrifolium,GA,SNR
Parthenium integrifolium var. integrifolium,IA,SNR
Parthenium integrifolium var. integrifolium,IL,SNR
Parthenium integrifolium var. integrifolium,IN,SNR
Parthenium integrifolium var. integrifolium,KS,SNR
Parthenium integrifolium var. integrifolium,KY,SNR
Parthenium integrifolium var. integrifolium,MA,SNR
Parthenium integrifolium var. integrifolium,MD,SNR
Parthenium integrifolium var. integrifolium,MN,SNR
Parthenium integrifolium var. integrifolium,MO,SNR
Parthenium integrifolium var. integrifolium,MS,SNR
Parthenium integrifolium var. integrifolium,NC,SNR
Parthenium integrifolium var. integrifolium,OH,SNR
Parthenium integrifolium var. integrifolium,OK,SNR
Parthenium integrifolium var. integrifolium,PA,SNR
Parthenium integrifolium var. integrifolium,SC,SNR
Parthenium integrifolium var. integrifolium,TN,SNR
Parthenium integrifolium var. integrifolium,TX,SNR
Parthenium integrifolium var. integrifolium,VA,S5?
Parthenium integrifolium var. integrifolium,WI,SNR
Parthenium integrifolium var. integrifolium,WV,SNR
Parthenium integrifolium var. integrifolium,AL,SNR
Parthenium integrifolium var. integrifolium,AR,SNR
Parthenium integrifolium var. integrifolium,CT,SNR
Parthenium integrifolium var. integrifolium,GA,SNR
Parthenium integrifolium var. integrifolium,IA,SNR
Parthenium integrifolium var. integrifolium,IL,SNR
Parthenium integrifolium var. integrifolium,IN,SNR
Parthenium integrifolium var. integrifolium,KS,S1
Parthenium integrifolium var. integrifolium,KY,SNR
Parthenium integrifolium var. integrifolium,MA,SNR
Parthenium integrifolium var. integrifolium,MD,SNR
Parthenium integrifolium var. integrifolium,MN,S1
Parthenium integrifolium var. integrifolium,MO,SNR
Parthenium integrifolium var. integrifolium,MS,SNR
Parthenium integrifolium var. integrifolium,NC,S5
Parthenium integrifolium var. integrifolium,OH,SNR
Parthenium integrifolium var. integrifolium,OK,SNR
Parthenium integrifolium var. integrifolium,PA,SNR
Parthenium integrifolium var. integrifolium,SC,SNR
Parthenium integrifolium var. integrifolium,TN,SNR
Parthenium integrifolium var. integrifolium,TX,SNR
Parthenium integrifolium var. integrifolium,VA,SNR
Parthenium integrifolium var. integrifolium,WI,SNR
Parthenium integrifolium var. integrifolium,WV,S3
Parthenocissus quinquefolia,AL,SNR
Parthenocissus quinquefolia,AR,SNR
Parthenocissus quinquefolia,AZ,SNR
Parthenocissus quinquefolia,CO,SNA
Parthenocissus quinquefolia,CT,SNR
Parthenocissus quinquefolia,DC,S5
Parthenocissus quinquefolia,DE,S5
Parthenocissus quinquefolia,FL,SNR
Parthenocissus quinquefolia,GA,SNR
Parthenocissus quinquefolia,GS,P5
Parthenocissus quinquefolia,IA,S5
Parthenocissus quinquefolia,ID,SNR
Parthenocissus quinquefolia,IL,SNR
Parthenocissus quinquefolia,IN,SNR
Parthenocissus quinquefolia,KS,SNR
Parthenocissus quinquefolia,KY,S5
Parthenocissus quinquefolia,LA,SNR
Parthenocissus quinquefolia,MA,SNR
Parthenocissus quinquefolia,MD,SNR
Parthenocissus quinquefolia,ME,SNR
Parthenocissus quinquefolia,MI,SNR
Parthenocissus quinquefolia,MN,SNR
Parthenocissus quinquefolia,MO,SNR
Parthenocissus quinquefolia,MS,SNR
Parthenocissus quinquefolia,MT,SNA
Parthenocissus quinquefolia,NC,S5
Parthenocissus quinquefolia,ND,SNR
Parthenocissus quinquefolia,NE,SNR
Parthenocissus quinquefolia,NH,SNR
Parthenocissus quinquefolia,NJ,S5
Parthenocissus quinquefolia,NM,SNR
Parthenocissus quinquefolia,NV,SNR
Parthenocissus quinquefolia,NY,S5
Parthenocissus quinquefolia,OH,SNR
Parthenocissus quinquefolia,OK,SNR
Parthenocissus quinquefolia,PA,SNR
Parthenocissus quinquefolia,RI,SNR
Parthenocissus quinquefolia,SC,SNR
Parthenocissus quinquefolia,SD,SNR
Parthenocissus quinquefolia,TN,SNR
Parthenocissus quinquefolia,TX,SNR
Parthenocissus quinquefolia,UT,SNR
Parthenocissus quinquefolia,VA,S5
Parthenocissus quinquefolia,VT,SNR
Parthenocissus quinquefolia,WA,SNR
Parthenocissus quinquefolia,WI,SNR
Parthenocissus quinquefolia,WV,S5
Parthenocissus quinquefolia,WY,SNR
Parthenocissus quinquefolia,MX,O(SNR
Parthenocissus quinquefolia,BC,SNA
Parthenocissus quinquefolia,MB,S4
Parthenocissus quinquefolia,NB,SNA
Parthenocissus quinquefolia,NS,SNA
Parthenocissus quinquefolia,ON,S4?
Parthenocissus quinquefolia,PE,SNA
Parthenocissus quinquefolia,SK,SNA
Parthenocissus quinquefolia var. quinquefolia,AL,SNR
Parthenocissus quinquefolia var. quinquefolia,AR,SNR
Parthenocissus quinquefolia var. quinquefolia,AZ,SNR
Parthenocissus quinquefolia var. quinquefolia,CO,SNA
Parthenocissus quinquefolia var. quinquefolia,CT,SNR
Parthenocissus quinquefolia var. quinquefolia,DE,SNR
Parthenocissus quinquefolia var. quinquefolia,FL,SNR
Parthenocissus quinquefolia var. quinquefolia,GA,SNR
Parthenocissus quinquefolia var. quinquefolia,IA,SNR
Parthenocissus quinquefolia var. quinquefolia,IL,SNR
Parthenocissus quinquefolia var. quinquefolia,IN,SNR
Parthenocissus quinquefolia var. quinquefolia,KS,SNR
Parthenocissus quinquefolia var. quinquefolia,KY,SNR
Parthenocissus quinquefolia var. quinquefolia,LA,SNR
Parthenocissus quinquefolia var. quinquefolia,MA,SNR
Parthenocissus quinquefolia var. quinquefolia,MD,SNR
Parthenocissus quinquefolia var. quinquefolia,ME,SNR
Parthenocissus quinquefolia var. quinquefolia,MI,SNR
Parthenocissus quinquefolia var. quinquefolia,MN,SNR
Parthenocissus quinquefolia var. quinquefolia,MO,SNR
Parthenocissus quinquefolia var. quinquefolia,MS,SNR
Parthenocissus quinquefolia var. quinquefolia,NC,SNR
Parthenocissus quinquefolia var. quinquefolia,ND,SNR
Parthenocissus quinquefolia var. quinquefolia,NE,SNR
Parthenocissus quinquefolia var. quinquefolia,NH,SNR
Parthenocissus quinquefolia var. quinquefolia,NJ,SNR
Parthenocissus quinquefolia var. quinquefolia,NM,SNR
Parthenocissus quinquefolia var. quinquefolia,NV,SNR
Parthenocissus quinquefolia var. quinquefolia,NY,SNR
Parthenocissus quinquefolia var. quinquefolia,OH,SNR
Parthenocissus quinquefolia var. quinquefolia,OK,SNR
Parthenocissus quinquefolia var. quinquefolia,PA,SNR
Parthenocissus quinquefolia var. quinquefolia,RI,SNR
Parthenocissus quinquefolia var. quinquefolia,SC,SNR
Parthenocissus quinquefolia var. quinquefolia,SD,SNR
Parthenocissus quinquefolia var. quinquefolia,TN,SNR
Parthenocissus quinquefolia var. quinquefolia,TX,SNR
Parthenocissus quinquefolia var. quinquefolia,UT,SNR
Parthenocissus quinquefolia var. quinquefolia,VA,S5
Parthenocissus quinquefolia var. quinquefolia,VT,SNR
Parthenocissus quinquefolia var. quinquefolia,WI,SNR
Parthenocissus quinquefolia var. quinquefolia,WV,SNR
Parthenocissus quinquefolia var. quinquefolia,WY,SNR
Parthenocissus quinquefolia var. quinquefolia,MX,O(SNR
Parthenocissus quinquefolia var. quinquefolia,BC,SNA
Parthenocissus quinquefolia var. quinquefolia,MB,S4
Parthenocissus quinquefolia var. quinquefolia,NB,SNR
Parthenocissus quinquefolia var. quinquefolia,NS,SNA
Parthenocissus quinquefolia var. quinquefolia,ON,S4?
Parthenocissus quinquefolia var. quinquefolia,PE,SNA
Parthenocissus quinquefolia var. quinquefolia,QC,SNR
Parthenocissus quinquefolia var. quinquefolia,SK,SNA
Parthenocissus vitacea,AR,SNR
Parthenocissus vitacea,AZ,SNR
Parthenocissus vitacea,CA,SNR
Parthenocissus vitacea,CT,SNR
Parthenocissus vitacea,IA,S5
Parthenocissus vitacea,IL,SNR
Parthenocissus vitacea,IN,SNR
Parthenocissus vitacea,KS,SNR
Parthenocissus vitacea,MA,SNR
Parthenocissus vitacea,ME,SNR
Parthenocissus vitacea,MI,SNR
Parthenocissus vitacea,MN,SNR
Parthenocissus vitacea,MO,SNR
Parthenocissus vitacea,MT,SU
Parthenocissus vitacea,ND,SNR
Parthenocissus vitacea,NE,SNR
Parthenocissus vitacea,NH,SNR
Parthenocissus vitacea,NJ,S3S4
Parthenocissus vitacea,NM,SNR
Parthenocissus vitacea,NY,S5
Parthenocissus vitacea,OH,SNR
Parthenocissus vitacea,OK,SNR
Parthenocissus vitacea,PA,SNR
Parthenocissus vitacea,RI,SNR
Parthenocissus vitacea,SD,SNR
Parthenocissus vitacea,TX,SNR
Parthenocissus vitacea,UT,S1
Parthenocissus vitacea,VT,SNR
Parthenocissus vitacea,WI,SNR
Parthenocissus vitacea,WV,S1
Parthenocissus vitacea,WY,S2
Parthenocissus vitacea,BC,SNA
Parthenocissus vitacea,MB,SNR
Parthenocissus vitacea,NB,SNA
Parthenocissus vitacea,NS,SNR
Parthenocissus vitacea,ON,S5
Parthenocissus vitacea,SK,S2
Paspalum distichum,AL,SNR
Paspalum distichum,AR,SNR
Paspalum distichum,AZ,SNR
Paspalum distichum,CA,SNR
Paspalum distichum,FL,SNR
Paspalum distichum,GA,SNR
Paspalum distichum,HI,SNA
Paspalum distichum,ID,SNR
Paspalum distichum,KS,S1
Paspalum distichum,KY,S3S4
Paspalum distichum,LA,SNR
Paspalum distichum,MD,SNR
Paspalum distichum,MS,SNR
Paspalum distichum,NC,SNR
Paspalum distichum,NJ,SNA
Paspalum distichum,NM,SNR
Paspalum distichum,NV,SNR
Paspalum distichum,OK,SNR
Paspalum distichum,OR,SNR
Paspalum distichum,PA,SNR
Paspalum distichum,SC,SNR
Paspalum distichum,TN,SNR
Paspalum distichum,TX,SNR
Paspalum distichum,UT,S2S3
Paspalum distichum,VA,S2
Paspalum distichum,WA,SNR
Paspalum distichum,MX,O(SNR
Paspalum distichum,BC,S1S3
Paspalum floridanum,AL,SNR
Paspalum floridanum,AR,SNR
Paspalum floridanum,DC,SNR
Paspalum floridanum,DE,S4
Paspalum floridanum,FL,SNR
Paspalum floridanum,GA,SNR
Paspalum floridanum,IL,S3
Paspalum floridanum,IN,SNR
Paspalum floridanum,KS,SNR
Paspalum floridanum,KY,S3S5
Paspalum floridanum,LA,SNR
Paspalum floridanum,MD,SNR
Paspalum floridanum,MO,SNR
Paspalum floridanum,MS,SNR
Paspalum floridanum,NC,S5
Paspalum floridanum,NJ,S3
Paspalum floridanum,OH,SNR
Paspalum floridanum,OK,SNR
Paspalum floridanum,PA,SNR
Paspalum floridanum,SC,SNR
Paspalum floridanum,TN,SNR
Paspalum floridanum,TX,SNR
Paspalum floridanum,VA,S5
Paspalum laeve,AL,SNR
Paspalum laeve,AR,SNR
Paspalum laeve,CT,S1
Paspalum laeve,DC,SNR
Paspalum laeve,DE,S4
Paspalum laeve,FL,SNR
Paspalum laeve,GA,S4?
Paspalum laeve,GS,PNR
Paspalum laeve,IL,S4
Paspalum laeve,IN,SNR
Paspalum laeve,KS,SNR
Paspalum laeve,KY,SNR
Paspalum laeve,LA,SNR
Paspalum laeve,MA,SH
Paspalum laeve,MD,SNR
Paspalum laeve,MI,SNR
Paspalum laeve,MO,SNR
Paspalum laeve,MS,SNR
Paspalum laeve,NC,SNR
Paspalum laeve,NJ,SNR
Paspalum laeve,NY,S1
Paspalum laeve,OH,SNR
Paspalum laeve,OK,S3
Paspalum laeve,PA,SNR
Paspalum laeve,SC,SNR
Paspalum laeve,TN,SNR
Paspalum laeve,TX,SNR
Paspalum laeve,VA,S4S5
Paspalum laeve,WV,S4
Paspalum laeve var. circulare,AL,SNR
Paspalum laeve var. circulare,AR,SNR
Paspalum laeve var. circulare,CT,S1
Paspalum laeve var. circulare,DC,SNR
Paspalum laeve var. circulare,DE,SNR
Paspalum laeve var. circulare,GA,S3?
Paspalum laeve var. circulare,IL,S3S4
Paspalum laeve var. circulare,IN,SNR
Paspalum laeve var. circulare,KS,SNR
Paspalum laeve var. circulare,KY,SNR
Paspalum laeve var. circulare,LA,SNR
Paspalum laeve var. circulare,MA,SNR
Paspalum laeve var. circulare,MD,SNR
Paspalum laeve var. circulare,MO,SNR
Paspalum laeve var. circulare,MS,SNR
Paspalum laeve var. circulare,NC,SNR
Paspalum laeve var. circulare,NJ,SU
Paspalum laeve var. circulare,NY,SNR
Paspalum laeve var. circulare,OH,SNR
Paspalum laeve var. circulare,OK,SNR
Paspalum laeve var. circulare,PA,SNR
Paspalum laeve var. circulare,SC,SNR
Paspalum laeve var. circulare,TN,SNR
Paspalum laeve var. circulare,TX,SNR
Paspalum laeve var. circulare,VA,SNR
Paspalum laeve var. circulare,WV,SNR
Paspalum laeve var. laeve,AL,SNR
Paspalum laeve var. laeve,AR,SNR
Paspalum laeve var. laeve,CT,SNR
Paspalum laeve var. laeve,DC,SNR
Paspalum laeve var. laeve,DE,SNR
Paspalum laeve var. laeve,FL,SNR
Paspalum laeve var. laeve,GA,S4?
Paspalum laeve var. laeve,GS,P3
Paspalum laeve var. laeve,IL,SNR
Paspalum laeve var. laeve,IN,SNR
Paspalum laeve var. laeve,KS,SNR
Paspalum laeve var. laeve,KY,SNR
Paspalum laeve var. laeve,LA,SNR
Paspalum laeve var. laeve,MD,SNR
Paspalum laeve var. laeve,MI,SNR
Paspalum laeve var. laeve,MO,SNR
Paspalum laeve var. laeve,MS,SNR
Paspalum laeve var. laeve,NC,SNR
Paspalum laeve var. laeve,NJ,S4
Paspalum laeve var. laeve,NY,SNR
Paspalum laeve var. laeve,OH,SNR
Paspalum laeve var. laeve,OK,SNR
Paspalum laeve var. laeve,PA,SNR
Paspalum laeve var. laeve,SC,SNR
Paspalum laeve var. laeve,TN,SNR
Paspalum laeve var. laeve,TX,SNR
Paspalum laeve var. laeve,VA,SNR
Paspalum laeve var. laeve,WV,SNR
Paspalum pubiflorum,AL,SNR
Paspalum pubiflorum,AR,SNR
Paspalum pubiflorum,CO,SNR
Paspalum pubiflorum,DC,SNR
Paspalum pubiflorum,DE,SNA
Paspalum pubiflorum,FL,SNR
Paspalum pubiflorum,GA,SNR
Paspalum pubiflorum,GS,PNR
Paspalum pubiflorum,IL,SNR
Paspalum pubiflorum,IN,SNR
Paspalum pubiflorum,KS,SNR
Paspalum pubiflorum,KY,S4?
Paspalum pubiflorum,LA,SNR
Paspalum pubiflorum,MD,SNR
Paspalum pubiflorum,MO,SNR
Paspalum pubiflorum,MS,SNR
Paspalum pubiflorum,NC,S1?
Paspalum pubiflorum,OH,SNR
Paspalum pubiflorum,OK,SNR
Paspalum pubiflorum,PA,SNR
Paspalum pubiflorum,SC,SNR
Paspalum pubiflorum,TN,SNR
Paspalum pubiflorum,TX,SNR
Paspalum pubiflorum,VA,S4
Paspalum pubiflorum,WV,S1
Paspalum pubiflorum var. glabrum,AL,SNR
Paspalum pubiflorum var. glabrum,AR,SNR
Paspalum pubiflorum var. glabrum,CO,SNA
Paspalum pubiflorum var. glabrum,DC,SNR
Paspalum pubiflorum var. glabrum,DE,SNA
Paspalum pubiflorum var. glabrum,FL,SNR
Paspalum pubiflorum var. glabrum,GA,SNR
Paspalum pubiflorum var. glabrum,GS,P3
Paspalum pubiflorum var. glabrum,IL,S3?
Paspalum pubiflorum var. glabrum,IN,SNR
Paspalum pubiflorum var. glabrum,KS,SNR
Paspalum pubiflorum var. glabrum,KY,SNR
Paspalum pubiflorum var. glabrum,LA,SNR
Paspalum pubiflorum var. glabrum,MD,SNR
Paspalum pubiflorum var. glabrum,MO,SNR
Paspalum pubiflorum var. glabrum,MS,SNR
Paspalum pubiflorum var. glabrum,NC,SNR
Paspalum pubiflorum var. glabrum,OH,SNR
Paspalum pubiflorum var. glabrum,OK,SNR
Paspalum pubiflorum var. glabrum,PA,SNR
Paspalum pubiflorum var. glabrum,SC,SNR
Paspalum pubiflorum var. glabrum,TN,SNR
Paspalum pubiflorum var. glabrum,TX,SNR
Paspalum pubiflorum var. glabrum,VA,SNR
Paspalum pubiflorum var. glabrum,WV,SNR
Paspalum setaceum,AL,SNR
Paspalum setaceum,AR,SNR
Paspalum setaceum,AZ,SNR
Paspalum setaceum,CO,SNR
Paspalum setaceum,CT,SH
Paspalum setaceum,DC,SNR
Paspalum setaceum,DE,S4
Paspalum setaceum,FL,SNR
Paspalum setaceum,GA,S5
Paspalum setaceum,GS,PNR
Paspalum setaceum,IA,S3
Paspalum setaceum,IL,S3?
Paspalum setaceum,IN,SNR
Paspalum setaceum,KS,SNR
Paspalum setaceum,KY,SNR
Paspalum setaceum,LA,SNR
Paspalum setaceum,MA,SNR
Paspalum setaceum,MD,SNR
Paspalum setaceum,MI,SNR
Paspalum setaceum,MN,SNR
Paspalum setaceum,MO,SNR
Paspalum setaceum,MS,SNR
Paspalum setaceum,NC,S5
Paspalum setaceum,NE,SNR
Paspalum setaceum,NH,SNR
Paspalum setaceum,NJ,SNR
Paspalum setaceum,NM,SNR
Paspalum setaceum,NY,SNR
Paspalum setaceum,OH,SNR
Paspalum setaceum,OK,SNR
Paspalum setaceum,PA,S4
Paspalum setaceum,RI,SNR
Paspalum setaceum,SC,SNR
Paspalum setaceum,SD,SNR
Paspalum setaceum,TN,SNR
Paspalum setaceum,TX,SNR
