SNAME,SUBNATIONS_SRANKS
Aconitum uncinatum ssp. muticum,"GA(S3), MD(SNR), NC(SNR), PA(SNR), SC(SNR), TN(SNR), VA(S4), WV(S4)"
Acorus americanus,"AK(SNR), CT(SNR), DC(SNR), DE(SH), GA(S1S2), IA(SNR), ID(SNR), IL(S3S4), IN(SNR), KY(S4), MA(SNR), ME(SNR), MI(SNR), MN(SNR), MT(SH), ND(S3), NE(S2), NH(SNR), NJ(S1?), NY(S5), OH(S2), OK(SU), PA(S1), RI(SNR), SD(S4), VT(SNR), WA(SNR), WI(SNR), AB(S3), BC(S2S3), MB(S5), NB(S4), NF(S1), NS(S4), NT(SNR), ON(S4), PE(S3S4), QC(S4?), SK(S4?)"
Actaea pachypoda,"AL(S5), AR(SNR), CT(SNR), DE(S1), FL(S1), GA(S5), GS(P4), IA(S4), IL(S3S4), IN(SNR), KS(S1), KY(S5), LA(S2), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S4), NE(S1), NH(SNR), NJ(S4), NY(S5), OH(SNR), OK(S1), PA(SNR), RI(S2), SC(SNR), TN(SNR), VA(S5), VT(SNR), WI(SNR), WV(S4), NB(S4), NS(S4), ON(S5), PE(S2), QC(S4)"
Actaea podocarpa,"GA(S3?), GS(P3), IL(S1), KY(S5), MD(S2), NC(S4), PA(S3), SC(SNR), TN(SNR), VA(S4), WV(S3)"
Actaea racemosa,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S4), GA(S4), GS(P4), IA(SH), IL(S1), IN(S3), KY(S5), MA(S1), MD(SNR), ME(SNA), MI(SH), MO(SNR), MS(S1S2), NC(S4), NJ(SNR), NY(S4), OH(SNR), PA(SNR), SC(SNR), TN(SNR), TV(SNR), VA(S4), WV(S4), ON(S2)"
Actaea racemosa var. racemosa,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(SNR), GA(SNR), IA(SNR), IL(SNR), IN(SNR), KY(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MO(SNR), MS(SNR), NC(SNR), NJ(S5), NY(S4), OH(SNR), PA(SNR), SC(SNR), TN(SNR), VA(SNR), WV(SNR), ON(SNR)"
Actaea rubra,"AK(SNR), AZ(S3S4), CA(SNR), CO(SNR), CT(SNR), IA(S4), ID(SNR), IL(S3), IN(S2), KS(SH), MA(SNR), ME(SNR), MI(SNR), MN(SNR), MT(S4), ND(SNR), NE(S3S5), NH(SNR), NJ(SNR), NM(SNR), NN(SNR), NV(SNR), NY(S5), OH(S2), OR(SNR), PA(S2S4), RI(S1), SD(SNR), UT(SNR), VT(SNR), WA(SNR), WI(SNR), WY(S4), AB(S5), BC(S4), LB(S3S4), MB(S5), NB(S5), NF(S5), NS(S5), NT(SNR), NU(SNR), ON(S5), PE(S5), QC(S5), SK(S5), YT(S3S4)"
Actaea rubra ssp. rubra,"AK(SNR), CT(SNR), IA(SNR), IL(SNR), IN(SNR), KS(SNR), MA(SNR), ME(SNR), MI(SNR), MN(SNR), MT(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(S2), NY(S5), OH(SNR), PA(SNR), RI(SNR), SD(SNR), VT(SNR), WI(SNR), AB(SNR), BC(SNR), LB(S3S4), MB(SNR), NB(S5), NF(S5), NS(S5), NU(SNR), ON(SNR), PE(S5), QC(S5), SK(S5), YT(SNR)"
Adiantum pedatum,"AL(SNR), AR(SNR), AZ(S5), CT(SNR), DC(SNR), DE(S3), GA(S5), GS(P4), IA(S4), IL(S5), IN(SNR), KS(SNR), KY(S4), LA(S3S4), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), NE(SNR), NH(SNR), NJ(S5), NY(S4), OH(SNR), OK(SNR), PA(S4), RI(S2), SC(SNR), SD(SH), TN(SNR), VA(S5), VT(S5), WA(SNR), WI(SNR), WV(S5), NB(S3), NS(S1), ON(S5), QC(S4)"
Adlumia fungosa,"CT(SNR), DE(SX), GS(P1), IA(SNR), IL(SNA), IN(SX), KY(SH), MA(S3), MD(S2), ME(S1), MI(S3), MN(SNR), NC(S2), NH(S1), NJ(S2), NY(S4), OH(S2), PA(SNR), RI(S1), TN(S2), TV(SNR), VA(S3), VT(S3S4), WI(S2S3), WV(S2?), AB(SNR), BC(SNR), MB(SU), NB(SNA), NS(SNA), ON(S4), QC(S2)"
