SNAME,SUBNATIONS_SRANKS
Lyonia ligustrina,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S4), FL(SNR), GA(SNR), GS(P3P4), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MS(SNR), NC(S5), NH(SNR), NJ(SNR), NY(S5), OH(SH), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(S3), WV(S4), NS(S1)"
Lyonia ligustrina var. ligustrina,"AL(SNR), CT(SNR), DC(SNR), DE(S4), GA(SNR), KY(SNR), MA(SNR), MD(SNR), ME(SNR), NC(S4), NH(SNR), NJ(S5), NY(SNR), OH(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), VA(S5), VT(SNR), WV(S4), NS(S1)"
Lyonia mariana,"AL(SNR), AR(SNR), CT(SH), DC(SNR), DE(S2), FL(SNR), GA(SNR), LA(S1), MD(SNR), MO(SH), NC(S5), NJ(S5), NY(S4), OK(S1S2), PA(S1), RI(SH), SC(SNR), TX(SNR), VA(S5)"
Lysimachia ciliata,"AK(SNR), AL(SNR), AR(SNR), CO(SNR), CT(SNR), DC(SNR), DE(S4), GA(SNR), GS(P1), IA(S4), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SNR), NC(S5), ND(SNR), NE(SNR), NH(SNR), NJ(S4), NM(SNR), NY(S5), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), UT(S2S3), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S5), WY(S3), AB(S4), BC(S5), MB(S5), NB(S5), NS(S4), ON(S5), PE(SNA), QC(S4S5), SK(S5), YT(SNR)"
Lysimachia hybrida,"AL(SNR), AR(SNR), AZ(S2S3), CT(SU), DE(S2), FL(SNR), GA(SNR), GS(P1), IA(S4), IL(SNR), IN(SNR), KS(SH), KY(S3S4), MA(S4S5), MD(S2), ME(SNR), MI(S2), MN(SNR), MO(SNR), MS(SNR), NC(S2?), ND(SNR), NE(S4S5), NH(S4), NJ(S3), NM(S3?), NY(S1), OK(SNR), OR(SNR), PA(S1), RI(SNR), SC(S1), SD(SNR), TN(SNR), TX(SNR), VA(S2), VT(S1), WA(SNR), WI(SNR), WV(S1), AB(S2), BC(SNR), MB(S3), NB(S1), ON(S1), QC(S2), SK(S5?)"
Lysimachia lanceolata,"AL(S5), AR(SNR), CT(SNR), DC(SNR), DE(SU), FL(SNR), GA(SNR), GS(P2), IA(S4), IL(SNR), IN(SNR), KY(S5), LA(SNR), MD(S3), ME(SNR), MI(SNR), MO(SNR), MS(SNR), NC(S3), NJ(S1), OH(SNR), OK(SNR), PA(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), WI(SNR), WV(S4), ON(SH)"
Lysimachia quadriflora,"AL(S3S4), AR(SNR), DC(SH), GA(S3?), IA(S4), IL(SNR), IN(SNR), KY(S3S4), MA(SH), MD(SNR), MI(SNR), MN(SNR), MO(SNR), ND(SNR), NE(SNR), NY(S1), OH(SNR), OK(S1), PA(SX), SD(S1), TN(S1), TV(SNR), VA(S1), WI(SNR), WV(S1), MB(S2), ON(S4)"
Lysimachia quadrifolia,"AL(SNR), CT(SNR), DC(SNR), DE(S5), GA(S5), GS(P4), IL(SNR), IN(SNR), KY(S5), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(S3), NC(S5), NH(SNR), NJ(S5), NY(S5), OH(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), NB(S1), ON(S4), QC(S2)"
Lysimachia terrestris,"CT(SNR), DC(SNR), DE(S5), GA(S1), IA(S4), ID(SNR), IL(SNR), IN(SNR), KY(S1), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(S1), NC(S3), NH(SNR), NJ(S5), NY(S5), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), TN(S1), TV(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S4), BC(SNA), LB(SNR), MB(S3), NB(S5), NF(S5), NS(S5), ON(S5), PE(S5), QC(S5)"
Lysimachia thyrsiflora,"AK(S4), CA(S1), CO(S1), CT(SNR), IA(S3), ID(SNR), IL(SNR), IN(SNR), KS(SNR), MA(SNR), MD(S1), ME(SNR), MI(SNR), MN(SNR), MO(S1), MT(SNR), ND(SNR), NE(S4S5), NH(S2), NJ(S3), NY(S4), OH(SNR), OR(SNR), PA(SNR), RI(SNR), SD(SNR), UT(S1), VT(SNR), WA(SNR), WI(SNR), WV(S1), WY(S1), AB(S3), BC(S4), MB(S5), NB(S4), NF(S1), NS(S4), NT(SNR), ON(S5), PE(S5), QC(S4S5), SK(S5), YT(S2)"
Lysimachia x producta,"CT(SNA), DC(SNA), DE(SNA), IL(SNA), IN(SNA), KY(SNR), MA(SNR), MD(SNA), ME(SNA), MI(SNA), NC(SNA), NH(SNA), NJ(SNA), NY(SNA), OH(SNA), PA(SNR), RI(SNA), SC(SNA), TN(S1), TV(SNR), VT(SNA), WI(SNA), WV(S2), ON(S1?)"
Lythrum alatum,"AL(SNR), AR(SNR), CO(SNR), CT(S1), DC(S1), FL(SNR), GA(SNR), IA(S4), IL(SNR), IN(SNR), KS(SNR), KY(S4?), LA(SNR), MA(S1?), MD(S1), ME(SU), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SU), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NY(SNR), OH(SNR), OK(SNR), PA(S1), RI(SNA), SC(SNR), SD(SNR), TN(SNR), TV(SNR), TX(SNR), VA(S2), VT(SH), WI(SNR), WV(S2), WY(S1), ON(S3)"
Lythrum alatum var. alatum,"AL(SNR), AR(SNR), CO(SNR), CT(SNR), FL(SNR), GA(SNR), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNR), MA(SNR), MD(SNR), ME(SNA), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SNR), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(S2), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNA), SD(SNR), TN(SNR), TV(SNR), VA(S2), VT(SNR), WI(SNR), WV(S2), WY(S1), ON(S3)"
Magnolia acuminata,"AL(SNR), AR(SNR), CT(SNR), FL(S1), GA(SNR), GS(P4), IL(SNR), IN(S1), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNA), MO(SNR), MS(SNR), NC(S5), NJ(SNA), NY(S5), OH(SNR), OK(S1), PA(S5), SC(SNR), TN(SNR), VA(S5), WV(S5), ON(S2)"
Magnolia tripetala,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(SNA), FL(S1), GA(SNR), GS(P3), IN(S1), KY(S5), MA(SNR), MD(S3), MO(SNR), MS(S1S2), NC(S5), NJ(SNA), NY(SNA), OH(S3), OK(S1), PA(S2), SC(SNR), TN(SNR), VA(S5), WV(S5)"
Magnolia virginiana,"AL(SNR), AR(SNR), DC(SNR), DE(S5), FL(SNR), GA(SNR), LA(SNR), MA(S1), MD(SNR), MS(SNR), NC(S5), NJ(S5), NY(S1), PA(S2), SC(SNR), TN(S2), TV(SNR), TX(SNR), VA(S5)"
Maianthemum canadense,"CT(SNR), DC(S1S3), DE(S4), GA(SNR), GS(P3), IA(S3), IL(S1), IN(SNR), KY(S2), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MT(SH), NC(S5), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NY(S5), OH(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), VA(S5), VT(SNR), WI(SNR), WV(S4), WY(SNR), AB(S5), BC(S4), LB(S5), MB(S5), NB(S5), NF(S5), NS(S5), NT(SNR), ON(S5), PE(S5), QC(S5), SK(S5), YT(S3)"
Smilacina racemosa,"AK(S2), AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(SNR), GS(P5), IA(S4), ID(SNR), IL(S5), IN(SNR), KS(SNR), KY(S5), LA(S1), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(S5), NC(S5), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NV(SNR), NY(SNR), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S5), WY(S3), MXSO(SNR), AB(S5), BC(SNR), MB(S2?), NB(S5), NF(S1), NS(S4S5), NT(SNR), ON(S5), PE(S5), SK(S1S2)"
Maianthemum racemosum ssp. racemosum,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(SNR), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNR), LA(SH), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(S5), NM(SNR), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), MB(S2?), NB(S5), NF(S1), NS(S4S5), ON(S5), PE(S5), QC(S5)"
Maianthemum stellatum,"AK(S2), AR(S1), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(S1), IA(S4), ID(SNR), IL(S3?), IN(SNR), KS(S2), KY(S1), MA(SNR), MD(S2), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MT(S5), ND(SNR), NE(SNR), NH(SNR), NJ(S3S4), NM(SNR), NV(SNR), NY(S5), OH(SNR), OK(SH), OR(SNR), PA(S4), RI(SNR), SD(SNR), TN(S1), TV(SNR), UT(SNR), VA(S2), VT(SNR), WA(SNR), WI(SNR), WV(S2), WY(S5), AB(S5), BC(S5), LB(S1S3), MB(S5), NB(S4S5), NF(S5), NS(S4), NT(SNR), NU(SNR), ON(S5), PE(S3), QC(S5), SK(S5?), YT(S4)"
Maianthemum trifolium,"CT(S2), MA(S3?), ME(SNR), MI(SNR), MN(SNR), MT(SU), NH(SNR), NJ(S1), NY(S5), OH(SX), PA(S4), RI(S1), VT(SNR), WI(SNR), AB(S5), BC(S4), LB(S5), MB(S5), NB(S5), NF(S5), NS(S5), NT(SNR), NU(SNR), ON(S5), PE(S4), QC(S5), SK(S5), YT(S3S4)"
Malaxis bayardii,"CT(S1), MA(S1), NC(S1), NJ(SH), NY(S1), PA(S1), RI(SH), SC(SNR), TV(SNR), VA(SU), WV(SH)"
Malaxis monophyllos var. brachypoda,"AK(SNR), CA(S1), CO(S1), CT(S1), IL(S1), IN(SNR), MA(S1), ME(SNR), MI(SNR), MN(S3), NH(SH), NJ(SH), NY(S4), PA(S1), TN(SNR), TX(SNR), VT(S2S3), WA(S1), WI(S3S4), AB(SNR), BC(S2S3), MB(SNR), NB(S1), NF(S2S3), NS(S1), ON(S4), QC(S3), SK(S1S2), YT(SNR)"
Malaxis unifolia,"AL(SNR), AR(SNR), CT(S1), DC(SNR), DE(S1), FL(S3), GA(S4), GS(P2), IA(SX), IL(S1), IN(S1), KS(S1), KY(S4?), LA(S4), MA(S2?), MD(S1?), ME(SNR), MI(SNR), MN(SNR), MO(S3), MS(SNR), NC(S4), NH(S2), NJ(SH), NY(S4), OH(S3), OK(S1), PA(SNR), RI(S1), SC(SNR), TN(SNR), TX(SNR), VA(S4), VT(S2), WI(SNR), WV(S4), LB(SNR), MB(S2?), NB(S4), NF(S3), NS(S4S5), ON(S4S5), PE(S2S3), QC(S4S5), SK(SNR)"
Malus angustifolia,"AL(SNR), AR(SNR), DC(SNR), DE(SU), FL(SNR), GA(SNR), GS(P1), IL(S1), KY(S3S4), LA(SNR), MD(S3), MO(S2), MS(SNR), NC(S3?), NJ(SNR), OH(SH), PA(SNR), SC(SNR), TN(SNR), TV(SNR), TX(SNR), VA(S4), WV(S3)"
Malus coronaria,"AL(SNR), AR(S2S3), DC(SNR), DE(SU), FL(SNR), GA(S5), GS(P1), IL(SNR), IN(SNR), KS(SNR), KY(S4S5), MD(SNR), MI(SNR), MO(SNR), NC(S2S3), NJ(S3S4), NY(S4S5), OH(SNR), PA(S5), SC(SNR), TN(SNR), VA(S4), WI(SNR), WV(S5), WY(SNR), ON(S4)"
Malus coronaria var. coronaria,"AL(SNR), AR(SNR), DC(SNR), DE(S5), FL(SNR), GA(SNR), IL(SNR), IN(SNR), KS(S1), KY(S4S5), MD(SNR), MI(SNR), MO(SNR), NC(SNR), NY(SNR), OH(SNR), PA(SNR), TN(SNR), VA(S4), WI(SNR), WV(S5), ON(SNR)"
Malus coronaria var. dasycalyx,"IL(SNR), IN(SNR), KS(SNR), MO(SNR), NC(SNR), NY(SNR), OH(SNR), PA(SNR), TN(SNR), WV(SNR), ON(SNR)"
Malus glaucescens,"AL(SNR), NC(SNR), NY(S2?), OH(SNR), PA(SNR), VA(SNR), ON(SNR)"
Marshallia grandiflora,"KY(S1), NC(SH), PA(S1), TN(S2), TV(SNR), WV(S2)"
Matelea carolinensis,"AL(SNR), AR(SNR), DC(SX), DE(S2), FL(SNR), GA(S4), KY(S1?), LA(SNR), MD(S1), MS(S3), NC(S4), PA(SH), SC(SNR), TN(SNR), TV(SNR), TX(SNR), VA(S4), WV(S2)"
Matelea obliqua,"AL(SNR), DC(SX), GA(S2), IL(S1), IN(S2), KY(S4?), MD(S1), MS(S2?), NC(SH), OH(S3), PA(S1), TN(SNR), TV(SNR), VA(S4), WV(S3)"
Matteuccia struthiopteris,"AK(SNR), CT(SNA), DC(SNA), IA(S4), IL(S2S3), IN(S2), MA(SNR), MD(S2), ME(SNR), MI(SNR), MN(SNR), MO(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(S4), NY(S4), OH(SNR), PA(SNR), RI(SNR), SD(SNR), TV(SNR), VA(S1), VT(SNR), WI(SNR), WV(S2), AB(S3), BC(S3S4), MB(S5), NB(S5), NF(S3S4), NS(S5), NT(S3), ON(S5), PE(S5), QC(S5), SK(S5), YT(S1S2)"
Medeola virginiana,"AL(SNR), AR(SNR), CT(SNR), DC(S5), DE(S5), FL(S1), GA(SNR), GS(P4P5), IL(S1), IN(SNR), KY(SNR), LA(S1), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SH), MS(SNR), NC(S5), NH(SNR), NJ(S4), NY(S5), OH(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), VA(SNR), VT(SNR), WI(S4), WV(S5), NB(S5), NS(S5), ON(S5), PE(S5), QC(S5)"
Meehania cordata,"IL(SNR), KY(S4), NC(S2), OH(SNR), PA(S1), TN(S2), TV(SNR), VA(S3), WV(S5)"
Megalodonta beckii,"CT(S2), IA(S1), ID(SNR), IL(S1), IN(S1), MA(S2), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MT(S2), NH(S1), NJ(S1), NY(S3), OH(SH), OR(SNR), PA(S1), RI(SNR), VT(SNR), WA(SNR), WI(SNR), BC(S3), MB(S3), NB(S3S4), NS(S3), ON(S5), QC(S3S4), SK(S1S2)"
Megalodonta beckii var. beckii,"CT(SNR), IA(SNR), ID(SNR), IL(SNR), IN(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MT(S2), NH(SNR), NJ(SNR), NY(SNR), OH(SNR), OR(SNR), PA(SNR), RI(SNR), VT(SNR), WA(SNR), WI(SNR), BC(SNR), MB(S3), NB(SNR), NS(SNR), ON(SNR), QC(SNR), SK(S1S2)"
Melampyrum lineare,"CT(S4), DC(SNR), DE(S5), GA(SNR), GS(PNR), ID(SNR), IL(SX), IN(S2), KY(S2), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MT(S4), NC(S4), NH(SNR), NJ(SNR), NY(SNR), OH(S2), PA(SNR), RI(SNR), SC(SNR), TN(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S4), AB(S3), BC(SNR), MB(S5), NB(S5), NF(SNR), NS(S5), ON(S4S5), PE(S5), QC(S5), SK(SNA)"
Melampyrum lineare var. americanum,"DE(S5), GS(P4P5), MN(SNR), NC(S3), PA(SNR), RI(SNR)"
Melampyrum lineare var. latifolium,"CT(SU), DC(SNR), DE(SNR), GA(SNR), IL(SNR), IN(SNR), KY(S2), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), NC(S4), NH(SH), NJ(S4), NY(SNR), OH(SNR), PA(SNR), RI(SNR), TN(SNR), VA(S5?), VT(SNR), WI(SNR), WV(S4), ON(SNR), QC(SNR)"
Melampyrum lineare var. lineare,"CT(SNR), DE(S5), ID(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MT(SNR), NC(SNR), NH(SNR), NY(S5), OH(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), VA(S5?), VT(SU), WA(SNR), WI(SNR), WV(S3), AB(SNR), BC(S4), MB(S5), NF(SNR), NS(S5), ON(SNR), PE(S5), QC(SNR), SK(S5?)"
Melampyrum lineare var. pectinatum,"CT(SU), DC(SNR), DE(S4), IN(SNR), KY(SH), MA(SNR), MD(SNR), NH(SH), NJ(S5), NY(SNR), PA(SNR), RI(SNR), VA(SU), VT(SNR)"
Melanthium latifolium,"AL(S1), AR(SH), CT(SH), DC(SH), DE(SH), GA(S2?), GS(P1), MD(S1), NC(S3), NJ(S3S4), NY(SX), PA(SNR), SC(SNR), TN(S1S2), TV(SNR), VA(S5), WV(S2)"
Veratrum virginicum,"AL(SNR), AR(SNR), DC(SNR), DE(S2), FL(SNR), GA(S4), IA(S2), IL(S2), IN(S1), KS(S2), KY(S1), LA(SNR), MD(S3), MN(SNR), MO(SNR), MS(S2S3), NC(S2S3), NJ(S1), NY(SH), OH(S2), OK(S1), PA(S1), SC(S2), TN(S1), TV(SNR), TX(SNR), VA(S4), WV(SH)"
Melica nitens,"AL(S1), AR(SNR), AZ(SNR), GA(SNR), IA(S3), IL(S3S4), IN(S2), KS(S2), KY(S3S4), MD(S2), MN(S2), MO(SNR), NC(S1), NE(S1), NM(SNR), OH(S2), OK(SNR), PA(S2), TN(SNR), TV(SNR), TX(SNR), VA(S1S2), WI(S1), WV(S1)"
Melothria pendula var. pendula,"AL(SNR), AR(SNR), DE(SNA), FL(SNR), GA(S4?), IL(SNR), IN(SNR), KS(SNR), KY(SNR), LA(SNR), MD(SNR), MO(SNR), MS(SNR), NC(SNR), OK(SNR), PA(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S4)"
Menispermum canadense,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S4), FL(SNR), GA(S3), GS(P1), IA(S5), IL(SNR), IN(SNR), KS(SNR), KY(S5), MA(S3), MD(SNR), MI(SNR), MN(SNR), MO(SNR), MS(S3), NC(S4), ND(SNR), NE(SNR), NH(S1), NJ(S4), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(S2S3), SD(SNR), TN(SNR), TV(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), MB(S3), ON(S4), QC(S3S4)"
Mentha arvensis,"AK(SU), AR(S1), AZ(SU), CA(SNR), CO(SNR), CT(SNR), DC(SNA), DE(SNA), GA(SNR), GS(PNR), IA(S5), ID(SNR), IL(SNR), IN(SNR), KS(SNR), MA(SNR), MD(SNR), ME(SNR), MI(S5), MN(SNR), MO(SNR), MT(S5), NC(SNA), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NV(SNR), NY(SNR), OH(SNR), OR(SNR), PA(SNR), RI(SNA), SD(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S5), WY(SNR), AB(S5), BC(S5), LB(S3), MB(S5), NB(S5), NF(S5), NS(S5), NT(SNR), ON(S5), PE(S5), QC(S4S5), SK(S5), YT(S3)"
Mentha canadensis,"AK(SNR), AR(SNR), AZ(SNR), CA(SNR), CT(SNR), DC(SNR), DE(SU), IA(SNR), ID(SNR), IL(SNR), IN(SNR), KY(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MT(SNR), NH(SNR), NY(S5), OH(SNR), OR(SNR), PA(SNR), RI(SNR), UT(SNR), VA(SNR), VT(SNR), WA(SNR), WI(SNR), WV(SNR), WY(SNR), BC(SNR), LB(SNR), MB(SNR), NF(SNR), NT(SNR), ON(SNR), QC(SNR), SK(SNR), YT(SNR)"
Mentha longifolia,"NJ(SNA), PA(SNR), WV(SNR)"
Menyanthes trifoliata,"AK(SNR), AZ(S1), CA(SNR), CO(SNR), CT(SNR), DE(SX), IA(S2), ID(SNR), IL(SNR), IN(S3), MA(SNR), MD(S1), ME(SNR), MI(SNR), MN(SNR), MO(S1), MT(S4), NC(S1), ND(S3), NE(S2S3), NH(SNR), NJ(S2), NV(SNR), NY(S4), OH(S2), OR(SNR), PA(SNR), RI(S2), SD(S1), TV(SNR), UT(S2S3), VA(S1), VT(SNR), WA(SNR), WI(SNR), WV(S1), WY(S3), AB(S5), BC(S5), LB(S5), MB(S5), NB(S5), NF(S5), NS(S5), NT(SNR), NU(SNR), ON(S5), PE(S4), QC(S5), SK(S5), YT(S4)"
Menziesia pilosa,"GA(S1), GS(P3), MD(S4S5), NC(S4), PA(S3), TN(S2), TV(SNR), VA(S4S5), WV(S3)"
Mertensia virginica,"AL(SNR), AR(SNR), DC(SNR), DE(S3), GA(S2), GS(P1), IA(S4), IL(SNR), IN(SNR), KS(S1), KY(S5), MA(SNR), MD(SNR), ME(SNA), MI(S2), MN(SNR), MO(SNR), MS(S1S2), NC(S2), NJ(S3), NY(S4), OH(SNR), PA(SNR), SC(SNR), TN(SNR), TV(SNR), VA(S5), VT(SNA), WI(SNR), WV(S4), ON(S3), QC(SNR)"
Micranthemum micranthemoides,"DC(SH), DE(SX), MD(SH), NJ(SH), NY(SX), PA(SX), VA(SH)"
Mikania scandens,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(SNR), IL(SNR), IN(S1), KY(S4?), LA(SNR), MA(SNR), MD(SNR), ME(SH), MI(SX), MO(SNR), MS(SNR), NC(S5), NH(S2), NJ(S5), NY(S4), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(SNR), ON(SNR)"
Milium effusum,"CT(S1), GS(P1), IA(S1), IL(S1), IN(S2), MA(S2), MD(S3), ME(SNR), MI(SNR), MN(SNR), NC(S1), NH(S3), NJ(SH.1), NY(S5), OH(SNR), PA(SNR), SD(SNR), TN(S1), TV(SNR), VA(S3), VT(S3S4), WI(SNR), WV(S3), LB(S1), MB(S2), NB(S4), NF(S2), NS(S4), ON(S4S5), QC(SNR), SK(S1)"
Milium effusum var. cisatlanticum,"CT(SNR), IA(SNR), IL(SNR), IN(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), NC(SNR), NH(SNR), NJ(SNR), NY(SNR), OH(SNR), PA(SNR), SD(SNR), TN(S1), VA(S3), VT(SNR), WI(SNR), WV(S3), LB(S1S2), MB(S2), NB(S4), NF(S2), NS(S4), ON(SNR), QC(S3S4), SK(S1)"
Mimosa quadrivalvis,"AL(SNR), AR(SNR), CO(SNR), DC(SNR), FL(SNR), GA(SNR), GS(PNR), IA(SNR), IL(SNR), KS(SNR), KY(S4S5), LA(S5), MD(SNR), MI(SNR), MO(SNR), MS(SNR), NC(SNR), NE(SNR), NM(SNR), OK(SNA), PA(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(SNR)"
Mimulus alatus,"AL(SNR), AR(SNR), CT(S3S4), DC(SNR), DE(S4), FL(SNR), GA(SNR), GS(P1), IA(S3), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(S1), MD(SNR), MI(SX), MO(SNR), MS(SNR), NC(S4), NE(S1S2), NJ(S3), NY(S3), OH(SNR), OK(SNR), PA(SNR), SC(SNR), TN(SNR), TX(SNR), VA(SNR), WV(S5), ON(S2)"
Mimulus moschatus,"CA(SNR), CO(SNR), CT(SNR), ID(SNR), MA(S1), ME(SNA), MI(SNR), MT(S3S4), NC(S1?), NH(S1), NJ(SNR), NV(SNR), NY(SNA), OR(SNR), PA(SNR), UT(SNR), VA(S1), VT(S2S3), WA(SNR), WV(SNA), WY(S2), AB(SNR), BC(SNR), NB(SNA), NF(SNA), NS(SNA), ON(S2?), PE(SNA), QC(S2?)"
Mimulus moschatus var. moschatus,"CA(SNR), CO(SNR), CT(SNR), ID(SNR), MA(SNR), ME(SNA), MI(SNR), MT(SNR), NC(SNR), NH(SNR), NJ(S2), NV(SNR), NY(SNR), OR(SNR), PA(SNR), UT(SNR), VA(SNR), VT(SNR), WA(SNR), WV(SNA), WY(SNR), AB(SNR), BC(S4), NB(SNA), NF(SNA), NS(SNA), ON(SNR), PE(SNA), QC(SNA)"
Mimulus ringens,"AL(SNR), AR(S1S2), CA(SNR), CO(SH), CT(SNR), DC(SNR), DE(S5), GA(SNR), GS(P2), IA(S4), ID(S1), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(S2), MA(SNR), MD(SNR), ME(S4), MI(SNR), MN(SNR), MO(SNR), MS(S1S2), MT(S1), NC(S4), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NY(S5), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TV(SNR), TX(SNR), VA(SNR), VT(SNR), WI(SNR), WV(S5), AB(S1), MB(S4), NB(S4S5), NS(S4S5), ON(S5), PE(S2?), QC(S4S5), SK(S1)"
Mimulus ringens var. ringens,"AL(SNR), AR(S1S2), CO(SNR), CT(SNR), DC(SNR), DE(SNR), GA(SNR), IA(SNR), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S4), ND(SNR), NE(SNR), NH(SNR), NJ(S4), NY(SNR), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(SNR), VT(SNR), WI(SNR), WV(S5), MB(SNR), NB(S4S5), NS(S4S5), ON(SNR), PE(S2?), QC(S4S5), SK(S1)"
Minuartia glabra,"AL(SNR), CT(S1), FL(SNR), GA(SNR), KY(S1S2), MD(S1), ME(S3), NC(S3), NH(S1), NJ(SNR), NY(S3), PA(S2), RI(S1), SC(SNR), TN(S3), VA(SNR), WV(SNR)"
Minuartia michauxii,"AK(SU), AL(SNR), AR(S1), CT(SNR), DE(SX), IA(S3), IL(SNR), IN(SNR), KS(SNR), KY(SNR), MA(S2), MD(S2), MI(SNR), MN(SNR), MO(SNR), NE(SNR), NH(S1), NJ(SNR), NM(SNR), NY(SNR), OH(S2), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SD(SNR), TX(SNR), VA(SNR), VT(SNR), WA(SNR), WV(S2), AB(SNR), BC(SNR), NU(SNR), ON(S5), QC(S2)"
